Sample_ID,District,Soil_Type,Canal_Access,Soil_pH,Moisture_%,Rainfall_mm,Recommended_Irrigation_Liters
1,Khairpur,Peaty,Yes,8.29,24.54,142,598.9
2,Sukkur,Clay,Yes,5.73,18.88,15,818.9
3,Mardan,Clay,Yes,6.16,22.03,137,574.7
4,Mardan,Sandy,Yes,6.65,32.38,172,32.7
5,DI Khan,Loamy,No,7.24,29.71,194,102.9
6,Multan,Silty,Yes,7.73,29.66,17,391.8
7,Swat,Loamy,No,8.35,9.81,121,662.3
8,Multan,Loamy,Yes,8.1,26.87,33,407.7
9,Mardan,Peaty,Yes,7.66,15.39,7,853.8
10,Swat,Peaty,No,7.49,20.72,164,627.3
11,Multan,Silty,Yes,6.26,26.32,24,429.6
12,Swat,Peaty,No,6.67,11.54,103,820.2
13,Swat,Clay,No,6.69,27.47,67,562.8
14,Bahawalpur,Clay,Yes,7.83,33.1,72,373.5
15,DI Khan,Sandy,No,6.18,6.95,48,462.7
16,Mardan,Silty,Yes,5.58,15.0,181,448.7
17,Mardan,Peaty,Yes,6.92,17.0,126,592.5
18,Mardan,Loamy,Yes,7.44,13.8,180,326.6
19,Bahawalpur,Sandy,Yes,6.88,19.73,28,265.3
20,Khairpur,Silty,Yes,6.39,23.78,11,447.6
21,DI Khan,Silty,No,6.1,23.52,94,503.8
22,DI Khan,Clay,No,8.2,13.97,4,979.5
23,Charsadda,Silty,Yes,8.01,24.79,181,272.0
24,Khairpur,Peaty,Yes,5.99,22.23,186,490.5
25,Sukkur,Silty,Yes,6.2,6.37,134,592.5
26,Sukkur,Clay,Yes,7.65,30.55,129,379.4
27,Sukkur,Sandy,Yes,7.08,28.14,29,170.4
28,DI Khan,Peaty,No,6.7,20.07,56,770.3
29,Charsadda,Silty,Yes,6.31,17.9,176,346.4
30,Khairpur,Silty,Yes,5.75,13.67,62,625.8
31,Multan,Clay,Yes,7.76,9.84,12,930.0
32,Swat,Silty,No,8.0,25.09,110,471.7
33,Sukkur,Sandy,Yes,6.95,21.69,153,77.6
34,Multan,Loamy,Yes,6.23,8.17,110,498.9
35,Swat,Sandy,No,5.69,7.44,179,389.8
36,Mardan,Sandy,Yes,8.46,13.41,42,418.0
37,Multan,Loamy,Yes,5.79,25.39,68,377.5
38,Multan,Silty,Yes,7.49,7.76,82,560.5
39,Charsadda,Silty,Yes,7.34,8.91,99,533.3
40,Sukkur,Loamy,Yes,7.21,18.83,9,469.3
41,Mardan,Silty,Yes,7.54,6.28,85,688.3
42,Khairpur,Sandy,Yes,7.66,9.08,153,274.1
43,Khairpur,Peaty,Yes,6.76,26.76,68,546.9
44,Swat,Peaty,No,6.88,29.54,134,449.2
45,Khairpur,Silty,Yes,5.59,24.91,33,466.7
46,Bahawalpur,Clay,Yes,6.47,29.86,195,275.1
47,Multan,Silty,Yes,6.93,27.65,198,113.5
48,Bahawalpur,Silty,Yes,6.65,9.11,154,531.9
